action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_7,action_8,action_9,action_10,action_11
-0.30939371364957885,0.3210452699365053,-0.39919242210113637,0.6370349842550985,0.3216709006601751,-0.39485595958833875,0.04414991857161864,1.189078629856918,-0.8955081410190897,-0.20320638097508717,0.3220050788520545,-0.3923972619111768
-0.3155994586978475,0.3210481322764785,-0.3991731885727794,0.6308925597520924,0.32165079446719214,-0.39500050775698886,0.0784079916213417,1.1499518212324165,-0.8792667004119763,-0.2093104605944271,0.32202940874182734,-0.3922139499798398
-0.32180490704014325,0.32105137858888727,-0.3991515464900547,0.6247480408539837,0.32163098498018206,-0.39514262991797877,0.11127868499536193,1.1080447205627808,-0.8612670325696961,-0.21541188731330396,0.3220539655244028,-0.39202819458755006
-0.3280100063165886,0.32105497396714633,-0.3991275133062547,0.6186014275607727,0.3216114547458522,-0.3952823260713084,0.1426427403458906,1.0638779944704653,-0.841602338074306,-0.22151059131854778,0.32207878410636614,-0.3918400306408925
-0.33421473907389104,0.32105891841125583,-0.399101071568087,0.612452772232337,0.3215922212174952,-0.39541961367027034,0.17239100478150798,1.0179786451231103,-0.8203891700132538,-0.2276065377035734,0.3221038121278398,-0.3916494232332822
-0.3404190354988805,0.32106322937450826,-0.39907222127555153,0.6063021097752612,0.32157326694181854,-0.3955544752615719,0.2004250417324015,0.9708676533024354,-0.7977673990727947,-0.23369972646838086,0.32212908449540867,-0.3914563898180116
-0.34662289559155696,0.32106790685690356,-0.3990409624286483,0.6001494750961308,0.3215546268254073,-0.39568692829850577,0.2266577243623117,0.9230492097227575,-0.7738993059667789,-0.23979010525309263,0.3221545837557803,-0.3912609303950808
-0.3528262669920428,0.32107293340514936,-0.39900731248066984,0.5939949031015306,0.3215362659616762,-0.39581695532777933,0.2510136893541375,0.8750019011182655,-0.7489681677199586,-0.24587765660441618,0.3221802924556622,-0.39106302751119715
-0.35902909734046057,0.3210783090192455,-0.39897125397832367,0.5878384286980459,0.32151821925721064,-0.39594457380268516,0.2734299477751743,0.8271725841373475,-0.7231763378058096,-0.2519623107091814,0.3222062455016393,-0.3908626986196533
-0.36523138663681026,0.32108403369919203,-0.39893278692160966,0.5816800693389689,0.32150046925871784,-0.39606976626993073,0.2938562166896722,0.7799724408984811,-0.696742907405335,-0.2580440850206809,0.3222323905338342,-0.3906599437204491
-0.3714330650679217,0.3210901248982815,-0.398891911310528,0.5755198948374698,0.3214830334194904,-0.39619255018280847,0.3122554776641964,0.7337755303669533,-0.6699013492125739,-0.2641229097257444,0.32225876245883184,-0.3904547453602921
-0.37763411518050244,0.3210965651632213,-0.39884862714507846,0.5693579051935488,0.3214658942862359,-0.3963129255413186,0.32860441309994026,0.6889191374207125,-0.6428968819874319,-0.2701987673710796,0.3222853438233397,-0.3902471209924749
-0.38383450206796743,0.3211033719473041,-0.39880295187855386,0.5631941527670832,0.3214490693122466,-0.3964308748921684,0.34289389492491595,0.6457054832730336,-0.6159837827486317,-0.27627164050339387,0.3223121346273578,-0.3900370531637048
-0.3900341908237316,0.3211105103439448,-0.3987548680576614,0.557028672464658,0.3214325584975228,-0.39654641568865034,0.35512956055260725,0.6044045703592005,-0.5894226640600811,-0.28234145930951715,0.3223391348708862,-0.389824541873982
-0.39623312908791736,0.3211180152597284,-0.3987043756824012,0.5508614817395661,0.3214163618420643,-0.3966595479307646,0.3653323364807456,0.5652572715692806,-0.5634775767843145,-0.28840824124274195,0.32236632710063223,-0.38960960457659893
-0.40243128195393985,0.3211258692413624,-0.39865147475277324,0.5446926329516846,0.3214004793458711,-0.3967702541652186,0.37353904915654806,0.5284786114671198,-0.5384130604760567,-0.2944719164898983,0.32239371131659605,-0.3893922412715556
-0.4086286319685063,0.3211340548355542,-0.39859616526877756,0.5385221784608912,0.3213848935556508,-0.39687856929859744,0.37980321037488096,0.49426094278958044,-0.5144910017895693,-0.3005324675976935,0.32242130497207006,-0.38917241705226685
-0.41482514422503186,0.32114260694888896,-0.39853846468370663,0.5323501008138937,0.3213696568312809,-0.3969844584243159,0.38419569795666764,0.4627765120805417,-0.4919673532596573,-0.3065898596595425,0.3224490731604693,-0.38895016682531786
-0.42102074891034635,0.3211515081280742,-0.3984783380909754,0.5261764872771543,0.32135471681288386,-0.3970879389956667,0.38680559350692983,0.4341796588057576,-0.4710886251898723,-0.3126440577688605,0.32247703333508626,-0.3887254731374161
-0.42721546347774236,0.32116074091981717,-0.398415820397169,0.5200013378506732,0.32134010840704463,-0.3971889935593571,0.38774108998599877,0.4086083337893056,-0.4520883077275462,-0.3186950444723547,0.3225051854959209,-0.3884983534418541
-0.4334092006607573,0.3211703402307031,-0.39835089414899477,0.5138247048943279,0.3213258316137634,-0.3972876570219724,0.387130434187311,0.3861850416913833,-0.4351830311394366,-0.32474278486344027,0.32253349473638826,-0.38826877283204675
-0.43960194300609845,0.32118027115414693,-0.3982835593464529,0.5076466233147034,0.3213118689797474,-0.39738389447692735,0.3851228517619121,0.36701734715379103,-0.42056884826042,-0.33078724403553206,0.32256199596307333,-0.38803676621457917
-0.44579367306047357,0.3211905336901487,-0.3982137985362506,0.5014671280183848,0.3212982379582892,-0.3974777233775146,0.3818896816824702,0.35119782244005454,-0.4084175169421851,-0.33682838708204504,0.3225906717226836,-0.38780231613615873
-0.45198433846400493,0.32120116274529337,-0.3981416466249732,0.49528623645866454,0.32128493854938905,-0.397569143723734,0.3776253885342425,0.33880375072945224,-0.39887297448814385,-0.34286619654968675,0.3226195045619265,-0.3875654051434931
-0.45817390431010757,0.3212121059597034,-0.398067086159328,0.4891040184487129,0.3212719532997542,-0.39765817296887823,0.37254857480604137,0.3298966025182393,-0.39204823096736297,-0.3489006200785796,0.3226484944808022,-0.3873260681431671
-0.46436233569219637,0.3212234156932563,-0.39799011713931504,0.4829204739885296,0.32125931711596983,-0.3977447762063622,0.36690315026083303,0.3245215818340425,-0.388022663954223,-0.35493165766872353,0.322677658932603,-0.3870842702285958
-0.4705495977036863,0.3212350395860745,-0.39791075701822687,0.4767356554379924,0.32124701254474325,-0.3978289708894784,0.3609592569602411,0.32270698046403656,-0.3868400463063642,-0.3609592569602411,0.32270698046403656,-0.3868400463063642
